                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.6084,                   1.47,                 2.2077,                0.87636,                0.68485,                0.72757,                0.43228,                 1.6604,                 1.4634,                 2.5246,              0.0011178,              0.0011178,              0.0011178
                     46,                 1.6971,                 1.5033,                 2.2428,                  0.711,                0.67234,                0.69326,                0.46866,                 1.4992,                  1.523,                 2.3676,              0.0011107,              0.0011107,              0.0011107
                     47,                 1.6979,                 1.5513,                 2.2719,                0.92562,                0.74996,                0.77614,                0.48981,                 1.6817,                 1.5241,                 2.6351,              0.0011036,              0.0011036,              0.0011036
                     48,                 1.6485,                   1.49,                 2.1904,                0.88425,                 0.7584,                0.80019,                0.54044,                 1.5072,                 1.4333,                 2.4479,              0.0010965,              0.0010965,              0.0010965
                     49,                 1.6139,                 1.3825,                 2.1604,                0.84638,                0.74583,                0.76965,                0.47968,                 1.5898,                 1.3621,                 2.5283,              0.0010895,              0.0010895,              0.0010895
                     50,                 1.5708,                  1.423,                 2.1253,                0.70489,                0.76667,                0.69541,                0.41472,                 1.4121,                 1.3966,                 2.2612,              0.0010824,              0.0010824,              0.0010824
                     51,                  1.572,                 1.3482,                 2.1534,                 0.7859,                0.75619,                 0.7854,                0.45617,                 1.7021,                 1.3551,                 2.5274,              0.0010753,              0.0010753,              0.0010753
                     52,                  1.636,                 1.4278,                 2.1251,                0.73471,                0.79385,                0.77654,                0.52852,                 1.4484,                 1.6321,                 2.3161,              0.0010682,              0.0010682,              0.0010682
                     53,                 1.5207,                  1.329,                 2.0732,                0.78768,                0.78396,                0.78432,                 0.5545,                 1.3155,                 1.4382,                 2.1988,              0.0010612,              0.0010612,              0.0010612
                     54,                 1.5353,                 1.3066,                  2.088,                0.72413,                 0.7875,                0.72902,                0.50363,                 1.3303,                  1.399,                 2.1853,              0.0010541,              0.0010541,              0.0010541
                     55,                 1.5811,                 1.3385,                  2.139,                0.71598,                0.76667,                0.72723,                0.41755,                 1.6246,                 1.4843,                 2.3613,               0.001047,               0.001047,               0.001047
                     56,                 1.5743,                 1.3893,                 2.1349,                0.62383,                 0.7375,                0.78798,                0.55226,                 1.4718,                 1.6249,                  2.316,                0.00104,                0.00104,                0.00104
                     57,                 1.5153,                 1.3332,                 2.0933,                0.72806,                 0.7875,                0.75776,                 0.5164,                 1.4254,                 1.6335,                 2.3107,              0.0010329,              0.0010329,              0.0010329
                     58,                 1.5394,                 1.3567,                 2.0863,                0.82725,                0.79792,                0.79153,                0.53434,                 1.3774,                 1.4022,                 2.2137,              0.0010258,              0.0010258,              0.0010258
                     59,                 1.5002,                 1.2557,                 2.0289,                0.91592,                0.77446,                0.80315,                0.58234,                 1.2904,                 1.3137,                 2.1257,              0.0010187,              0.0010187,              0.0010187
                     60,                  1.509,                 1.2633,                 2.0617,                0.90884,                 0.7875,                0.77838,                0.56256,                 1.2496,                 1.4871,                  2.103,              0.0010117,              0.0010117,              0.0010117
                     61,                  1.547,                 1.3048,                 2.1059,                0.91754,                 0.7875,                0.81336,                 0.5611,                 1.3034,                 1.3287,                  2.157,              0.0010046,              0.0010046,              0.0010046
                     62,                 1.5601,                 1.3452,                 2.0586,                0.75777,                0.77917,                0.80291,                0.43511,                 1.6138,                 1.5677,                 2.4945,             0.00099751,             0.00099751,             0.00099751
                     63,                 1.5438,                 1.3043,                 2.0466,                0.86976,                 0.7125,                0.78329,                0.46884,                 1.5615,                 1.4432,                 2.3945,             0.00099044,             0.00099044,             0.00099044
                     64,                 1.4587,                 1.2465,                 2.0323,                0.48694,                0.61376,                0.58408,                0.21644,                 2.1075,                 1.8799,                 3.0093,             0.00098337,             0.00098337,             0.00098337
                     65,                 1.3903,                 1.1908,                 1.9669,                0.80305,                0.79552,                0.77532,                0.50559,                 1.4405,                 1.3261,                 2.3177,             0.00097629,             0.00097629,             0.00097629
