                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.6071,                 1.4162,                 2.3089,                0.80425,                0.69583,                0.74386,                0.49985,                 1.2785,                 1.4159,                 2.1459,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.6427,                 1.4388,                 2.2905,                 0.7805,                0.73297,                0.78894,                0.51717,                 1.3215,                 1.3449,                 2.2146,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.6049,                 1.3593,                 2.2627,                0.82494,                 0.7875,                0.79543,                0.55569,                 1.3795,                 1.2902,                 2.2811,             0.00076409,             0.00076409,             0.00076409
                     49,                  1.583,                 1.3246,                 2.2772,                0.52994,                0.77917,                0.76372,                0.51181,                 1.2847,                 1.5805,                 2.1993,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.5913,                 1.3522,                 2.2832,                0.62352,                 0.7625,                0.75876,                0.51408,                 1.2405,                 1.5005,                 2.1225,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.5748,                  1.343,                  2.247,                0.59453,                0.76215,                 0.7261,                0.46984,                 1.4617,                 1.7677,                 2.3162,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.6111,                 1.3688,                 2.2516,                0.52921,                0.75811,                 0.6912,                 0.4674,                 1.3069,                 2.1583,                 2.1879,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.5219,                 1.2247,                 2.1612,                0.79976,                0.74441,                 0.7389,                0.50568,                 1.2692,                 1.7845,                 2.1469,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.5246,                  1.239,                 2.2003,                0.82858,                0.78333,                0.78041,                0.45424,                 1.5148,                 1.3822,                 2.3353,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.6645,                 1.3159,                 2.3011,                0.86442,                0.73333,                0.79932,                0.51743,                 1.4589,                 1.4944,                 2.3318,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.5188,                  1.258,                 2.1517,                 0.8472,                 0.7851,                0.80263,                 0.5817,                 1.2351,                 1.2917,                 2.0612,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.5208,                 1.2342,                 2.1524,                0.90031,                0.78557,                0.81258,                0.59662,                 1.1866,                 1.2572,                 2.0306,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.5724,                 1.2827,                 2.2084,                 0.7921,                 0.6625,                0.77422,                0.55214,                 1.1421,                 1.4028,                 1.9989,             0.00062262,             0.00062262,             0.00062262
                     59,                  1.468,                 1.2497,                 2.1069,                0.90953,                0.75151,                0.80291,                0.58129,                 1.1738,                 1.2081,                  2.051,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.5057,                 1.2208,                 2.1723,                0.86595,                 0.7625,                0.79982,                0.51274,                 1.3031,                 1.2303,                 2.2278,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.4795,                  1.155,                 2.1663,                0.79231,                0.74396,                0.79989,                0.52936,                 1.3016,                 1.2196,                 2.1834,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.5494,                 1.2469,                 2.1211,                 0.8372,                0.72226,                0.78385,                0.58549,                 1.1645,                 1.2552,                 1.9898,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.4742,                 1.1889,                 2.1295,                0.85276,                0.76119,                0.77704,                0.53324,                 1.2893,                 1.2007,                 2.0865,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.4664,                 1.1421,                  2.109,                0.96633,                0.77887,                 0.7982,                0.49396,                 1.3809,                 1.3285,                 2.2187,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.4015,                 1.1484,                 2.0536,                 0.8845,                0.74167,                0.80386,                 0.5718,                 1.1468,                 1.1361,                 1.9667,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.4348,                 1.2104,                 2.1046,                0.87552,                0.76667,                0.77792,                 0.5466,                 1.2832,                 1.1644,                 2.0908,             0.00050944,             0.00050944,             0.00050944
                     67,                  1.443,                 1.1657,                 2.0763,                0.89736,                0.79613,                0.82198,                0.54259,                  1.262,                 1.0514,                 2.1297,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.3901,                 1.1427,                 2.0539,                0.82489,                0.79697,                0.80256,                0.60672,                 1.1164,                 1.1249,                 1.9325,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.4418,                  1.182,                 2.0811,                0.83365,                0.80833,                0.79229,                0.58923,                 1.1231,                 1.1487,                 1.9375,               0.000467,               0.000467,               0.000467
                     70,                 1.4468,                 1.1271,                 2.0909,                0.68896,                0.79688,                0.81162,                0.56378,                 1.2577,                 1.4042,                 2.0536,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.3776,                 1.0677,                 2.0261,                0.93866,                0.75548,                0.80568,                0.60695,                 1.1159,                 1.0546,                 1.9401,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.3503,                 1.0899,                 2.0387,                0.93733,                  0.725,                 0.7927,                0.60623,                 1.1335,                 1.1424,                 1.9388,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.3936,                 1.1192,                 2.0679,                0.83677,                0.73271,                0.80694,                0.57089,                 1.2286,                 1.4378,                 2.0585,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.3983,                 1.0972,                 2.0326,                0.89768,                0.70417,                0.77262,                0.61308,                 1.0882,                 1.1728,                 1.8807,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.3933,                 1.1248,                 2.0305,                0.80412,                0.74981,                0.78703,                0.58679,                 1.1362,                 1.2123,                 1.8837,             0.00038211,             0.00038211,             0.00038211
                     76,                  1.361,                 1.0798,                 2.0287,                0.83227,                0.76667,                 0.7897,                0.57033,                 1.1676,                 1.2133,                  1.894,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.3648,                 1.1276,                 2.0052,                0.87601,                0.74209,                0.79634,                0.59296,                 1.1143,                 1.1241,                 1.9068,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.3879,                 1.1022,                 2.0597,                0.87306,                0.77292,                0.77955,                0.58191,                  1.204,                 1.1819,                  1.933,             0.00033967,             0.00033967,             0.00033967
                     79,                 1.3266,                 1.0592,                 1.9562,                0.94282,                0.74416,                0.79637,                0.61244,                 1.1072,                  1.156,                 1.8979,             0.00032553,             0.00032553,             0.00032553
